date,week,dow,smh1,drac1,eyb1,gre1,gre2
2008-01-01,01,2,257,169,107,146,246
2008-01-02,01,3,392,258,226,289,752
2008-01-03,01,4,601,236,227,417,1042
2008-01-04,01,5,601,248,206,423,1002
2008-01-05,01,6,367,373,143,255,566
2008-01-06,01,7,329,150,79,136,368
2008-01-07,02,1,896,113,115,406,1002
2008-01-08,02,2,1784,395,351,815,1718
2008-01-09,02,3,1300,200,203,612,1460
2008-01-10,02,4,1735,431,334,723,1631
2008-01-11,02,5,1560,264,243,721,1611
2008-01-12,02,6,210,60,49,129,343
2008-01-13,02,7,702,468,222,280,539
2008-01-14,03,1,1366,134,242,655,1426
2008-01-15,03,2,1779,103,238,743,1731
2008-01-16,03,3,1179,178,213,477,1364
2008-01-17,03,4,1793,242,316,811,1625
2008-01-18,03,5,1538,390,291,767,1627
2008-01-19,03,6,791,699,291,424,878
2008-01-20,03,7,988,858,360,365,584
2008-01-21,04,1,1868,299,440,814,1709
2008-01-22,04,2,1147,108,172,566,1303
2008-01-23,04,3,1828,233,459,839,1740
2008-01-24,04,4,1955,265,397,793,1763
2008-01-25,04,5,1667,342,337,809,1743
2008-01-26,04,6,681,561,289,316,755
2008-01-27,04,7,588,463,205,236,527
2008-01-28,05,1,2012,257,389,868,1649
2008-01-29,05,2,2079,281,397,916,1867
2008-01-30,05,3,1595,140,277,648,1563
2008-01-31,05,4,1927,174,315,799,1722
2008-02-01,05,5,1648,279,232,746,1674
2008-02-02,05,6,395,232,120,250,543
2008-02-03,05,7,825,673,255,396,582
2008-02-04,06,1,1106,93,151,467,1102
2008-02-05,06,2,2054,252,315,842,1779
2008-02-06,06,3,1776,221,309,639,1672
2008-02-07,06,4,2120,439,356,894,1831
2008-02-08,06,5,1862,465,357,862,1795
2008-02-09,06,6,915,897,384,489,808
2008-02-10,06,7,1044,965,497,466,685
2008-02-11,07,1,2044,240,389,1015,1869
2008-02-12,07,2,2196,298,388,942,1928
2008-02-13,07,3,2204,416,477,924,1917
2008-02-14,07,4,2166,330,387,933,1933
2008-02-15,07,5,1914,374,329,832,1772
2008-02-16,07,6,595,604,273,411,679
2008-02-17,07,7,795,558,308,368,631
2008-02-18,08,1,1121,320,410,605,1318
2008-02-19,08,2,1298,437,379,633,1426
2008-02-20,08,3,972,302,313,534,1334
2008-02-21,08,4,1263,545,468,692,1393
2008-02-22,08,5,1270,526,350,603,1356
