date,week,dow,status,total,in,out,101051044,102051044,103051044,104051044
2019-04-16,16,2,,64,40,24,8,21,32,3
2019-04-17,16,3,,489,239,250,15,219,224,31
2019-04-18,16,4,,429,211,218,21,188,190,30
2019-04-19,16,5,,460,220,240,24,205,196,35
2019-04-20,16,6,,499,250,249,30,204,220,45
2019-04-21,16,7,,189,90,99,15,78,75,21
2019-04-22,17,1,,380,181,199,33,141,148,58
2019-04-23,17,2,,408,199,209,11,181,188,28
2019-04-24,17,3,,194,100,94,8,83,92,11
2019-04-25,17,4,,308,152,156,8,137,144,19
2019-04-26,17,5,,330,156,174,14,146,142,28
2019-04-27,17,6,,276,142,134,11,113,131,21
2019-04-28,17,7,,59,30,29,4,20,26,9
2019-04-29,18,1,,307,153,154,12,138,141,16
2019-04-30,18,2,,478,226,252,13,224,213,28
2019-05-01,18,3,,465,226,239,28,192,198,47
2019-05-02,18,4,,235,117,118,6,105,111,13
2019-05-03,18,5,,332,168,164,15,147,153,17
2019-05-04,18,6,,377,171,206,14,173,157,33
2019-05-05,18,7,,52,25,27,4,17,21,10
2019-05-06,19,1,,350,169,181,13,156,156,25
2019-05-07,19,2,,464,218,246,15,229,203,17
2019-05-08,19,3,,94,50,44,5,39,45,5
2019-05-09,19,4,,304,150,154,11,136,139,18
2019-05-10,19,5,,469,234,235,21,214,213,21
2019-05-11,19,6,,280,136,144,20,114,116,30
2019-05-12,19,7,,175,84,91,12,65,72,26
2019-05-13,20,1,,409,203,206,16,187,187,19
2019-05-14,20,2,,446,215,231,13,208,202,23
2019-05-15,20,3,,468,217,251,11,225,206,26
2019-05-16,20,4,,443,212,231,7,206,205,25
2019-05-17,20,5,,238,113,125,8,114,105,11
2019-05-18,20,6,,301,147,154,10,125,137,29
2019-05-19,20,7,,64,28,36,3,25,25,11
2019-05-20,21,1,,134,65,69,6,55,59,14
2019-05-21,21,2,,312,144,168,4,154,140,14
2019-05-22,21,3,,556,277,279,17,250,260,29
2019-05-23,21,4,,569,277,292,11,264,266,28
2019-05-24,21,5,,453,219,234,9,213,210,21
2019-05-25,21,6,,348,173,175,20,144,153,31
2019-05-26,21,7,,263,131,132,16,109,115,23
2019-05-27,22,1,,427,201,226,15,208,186,18
2019-05-28,22,2,,196,96,100,6,88,90,12
2019-05-29,22,3,,353,171,182,19,155,152,27
2019-05-30,22,4,,467,231,236,25,188,206,48
2019-05-31,22,5,,516,257,259,23,216,234,43
2019-06-01,22,6,,486,235,251,18,212,217,39
2019-06-02,22,7,,316,163,153,17,126,146,27
2019-06-03,23,1,,422,210,212,13,201,197,11
2019-06-04,23,2,,525,258,267,18,247,240,20
2019-06-05,23,3,,537,269,268,22,247,247,21
2019-06-06,23,4,,427,208,219,15,198,193,21
2019-06-07,23,5,,454,233,221,16,209,217,12
2019-06-08,23,6,,529,263,266,37,220,226,46
2019-06-09,23,7,,100,43,57,6,44,37,13
2019-06-10,24,1,,118,55,63,3,60,52,3
2019-06-11,24,2,,126,53,73,8,60,45,13
2019-06-12,24,3,,501,241,260,23,233,218,27
2019-06-13,24,4,,581,287,294,18,264,269,30
2019-06-14,24,5,,341,164,177,9,167,155,10
2019-06-15,24,6,,198,100,98,8,80,92,18
2019-06-16,24,7,,314,146,168,25,130,121,38
2019-06-17,25,1,,531,252,279,27,250,225,29
2019-06-18,25,2,,472,225,247,13,221,212,26
2019-06-19,25,3,,550,273,277,22,234,251,43
2019-06-20,25,4,,310,151,159,9,141,142,18
2019-06-21,25,5,,277,142,135,11,116,131,19
2019-06-22,25,6,,337,166,171,16,125,150,46
2019-06-23,25,7,,270,127,143,15,105,112,38
2019-06-24,26,1,,510,239,271,15,238,224,33
2019-06-25,26,2,,476,231,245,19,213,212,32
2019-06-26,26,3,,416,195,221,13,195,182,26
2019-06-27,26,4,,418,203,215,10,196,193,19
2019-06-28,26,5,,377,185,192,18,168,167,24
2019-06-29,26,6,,270,136,134,13,111,123,23
2019-06-30,26,7,,111,57,54,9,41,48,13
2019-07-01,27,1,,418,207,211,10,191,197,20
2019-07-02,27,2,,488,239,249,19,220,220,29
2019-07-03,27,3,,471,227,244,9,213,218,31
2019-07-04,27,4,,462,224,238,13,212,211,26
2019-07-05,27,5,,484,239,245,17,220,222,25
2019-07-06,27,6,,319,161,158,11,138,150,20
2019-07-07,27,7,,196,78,118,7,89,71,29
2019-07-08,28,1,,471,220,251,16,210,204,41
2019-07-09,28,2,,369,180,189,13,162,167,27
2019-07-10,28,3,,498,243,255,17,226,226,29
2019-07-11,28,4,,486,232,254,18,216,214,38
2019-07-12,28,5,,556,274,282,26,241,248,41
2019-07-13,28,6,,431,205,226,14,186,191,40
2019-07-14,28,7,,214,89,125,6,93,83,32
2019-07-15,29,1,,400,196,204,12,181,184,23
2019-07-16,29,2,,601,306,295,19,255,287,40
2019-07-17,29,3,,553,268,285,14,258,254,27
2019-07-18,29,4,,498,238,260,10,226,228,34
2019-07-19,29,5,,490,234,256,14,233,220,23
2019-07-20,29,6,,420,198,222,17,180,181,42
2019-07-21,29,7,,223,108,115,16,90,92,25
2019-07-22,30,1,,488,242,246,22,216,220,30
2019-07-23,30,2,,452,203,249,24,208,179,41
2019-07-24,30,3,,414,201,213,15,181,186,32
2019-07-25,30,4,,358,175,183,10,169,165,14
2019-07-26,30,5,,356,171,185,13,159,158,26
2019-07-27,30,6,,222,111,111,7,94,104,17
2019-07-28,30,7,,85,37,48,6,30,31,18
2019-07-29,31,1,,589,295,294,30,241,265,53
2019-07-30,31,2,,542,278,264,27,224,251,40
2019-07-31,31,3,,489,233,256,17,223,216,33
2019-08-01,31,4,,487,231,256,19,225,212,31
2019-08-02,31,5,,481,237,244,17,205,220,39
2019-08-03,31,6,,446,206,240,14,203,192,37
2019-08-04,31,7,,203,82,121,13,86,69,35
2019-08-05,32,1,,492,231,261,15,223,216,38
2019-08-06,32,2,,397,202,195,13,164,189,31
2019-08-07,32,3,,282,136,146,12,120,124,26
2019-08-08,32,4,,458,218,240,21,204,197,36
2019-08-09,32,5,,390,189,201,17,145,172,56
2019-08-10,32,6,,354,176,178,16,140,160,38
2019-08-11,32,7,,189,95,94,13,71,82,23
2019-08-12,33,1,,281,136,145,17,128,119,17
2019-08-13,33,2,,437,212,225,16,196,196,29
2019-08-14,33,3,,478,227,251,19,218,208,33
2019-08-15,33,4,,320,162,158,22,127,140,31
2019-08-16,33,5,,387,184,203,22,174,162,29
2019-08-17,33,6,,387,189,198,20,169,169,29
2019-08-18,33,7,,204,94,110,11,95,83,15
2019-08-19,34,1,,398,194,204,14,180,180,24
2019-08-20,34,2,,101,47,54,1,44,46,10
2019-08-21,34,3,,382,179,203,16,170,163,33
2019-08-22,34,4,,483,236,247,18,212,218,35
2019-08-23,34,5,,469,224,245,20,218,204,27
2019-08-24,34,6,,507,238,269,25,220,213,49
2019-08-25,34,7,,225,104,121,17,93,87,28
2019-08-26,35,1,,553,266,287,25,247,241,40
2019-08-27,35,2,,569,279,290,18,256,261,34
2019-08-28,35,3,,448,199,249,18,210,181,39
2019-08-29,35,4,,575,275,300,15,259,260,41
2019-08-30,35,5,,558,263,295,18,265,245,30
2019-08-31,35,6,,485,242,243,25,197,217,46
2019-09-01,35,7,,264,126,138,13,118,113,20
2019-09-02,36,1,,376,176,200,7,183,169,17
2019-09-03,36,2,,482,245,237,15,216,230,21
2019-09-04,36,3,,535,266,269,20,230,246,39
2019-09-05,36,4,,320,164,156,8,144,156,12
2019-09-06,36,5,,313,147,166,14,151,133,15
2019-09-07,36,6,,484,223,261,24,217,199,44
2019-09-08,36,7,,106,49,57,6,38,43,19
2019-09-09,37,1,,363,173,190,15,176,158,14
2019-09-10,37,2,,288,139,149,8,137,131,12
2019-09-11,37,3,,457,229,228,12,209,217,19
2019-09-12,37,4,,400,185,215,11,196,174,19
2019-09-13,37,5,,430,209,221,11,194,198,27
2019-09-14,37,6,,465,240,225,20,191,220,34
2019-09-15,37,7,,255,127,128,20,95,107,33
2019-09-16,38,1,,441,217,224,9,205,208,19
2019-09-17,38,2,,486,234,252,11,228,223,24
2019-09-18,38,3,,443,211,232,12,209,199,23
2019-09-19,38,4,,476,231,245,16,221,215,24
2019-09-20,38,5,,447,212,235,19,206,193,29
2019-09-21,38,6,,501,249,252,22,207,227,45
2019-09-22,38,7,,157,64,93,10,69,54,24
2019-09-23,39,1,,440,223,217,17,193,206,24
2019-09-24,39,2,,268,132,136,9,126,123,10
2019-09-25,39,3,,331,165,166,7,146,158,20
2019-09-26,39,4,,358,173,185,13,158,160,27
2019-09-27,39,5,,451,223,228,11,201,212,27
2019-09-28,39,6,,472,229,243,22,208,207,35
2019-09-29,39,7,,282,137,145,19,112,118,33
2019-09-30,40,1,,410,204,206,8,190,196,16
2019-10-01,40,2,,424,204,220,9,199,195,21
2019-10-02,40,3,,184,96,88,5,80,91,8
2019-10-03,40,4,,353,168,185,5,169,163,16
2019-10-04,40,5,,376,187,189,13,173,174,16
2019-10-05,40,6,,339,184,155,15,126,169,29
2019-10-06,40,7,,222,116,106,20,79,96,27
2019-10-07,41,1,,309,156,153,5,146,151,7
2019-10-08,41,2,,430,206,224,15,211,191,13
2019-10-09,41,3,,193,96,97,7,83,89,14
2019-10-10,41,4,,388,183,205,12,188,171,17
2019-10-11,41,5,,389,198,191,15,177,183,14
2019-10-12,41,6,,404,196,208,19,175,177,33
2019-10-13,41,7,,254,113,141,16,106,97,35
