date,week,dow,status,total,in,out,101058593,102058593,103058593,104058593,105058593,106058593
2020-09-18,38,5,,409,209,200,14,8,178,24,17,168
2020-09-19,38,6,1,499,270,229,26,9,213,35,31,185
2020-09-20,38,7,1,366,191,175,14,2,148,28,29,145
2020-09-21,39,1,,678,333,345,20,9,288,31,25,305
2020-09-22,39,2,,706,368,338,26,10,297,42,45,286
2020-09-23,39,3,,964,491,473,25,4,413,63,53,406
2020-09-24,39,4,,531,272,259,12,1,241,25,19,233
2020-09-25,39,5,,289,150,139,15,3,120,15,15,121
2020-09-26,39,6,1,194,101,93,12,7,76,14,13,72
2020-09-27,39,7,1,140,78,62,3,5,66,7,9,50
2020-09-28,40,1,,565,282,283,16,8,237,32,29,243
2020-09-29,40,2,,735,376,359,25,9,315,19,36,331
2020-09-30,40,3,,904,465,439,22,7,393,47,50,385
2020-10-01,40,4,,576,305,271,14,3,259,25,32,243
2020-10-02,40,5,,327,142,185,6,2,127,18,9,165
2020-10-03,40,6,1,0,0,0,0,0,0,0,0,0
2020-10-04,40,7,1,0,0,0,0,0,0,0,0,0
2020-10-05,41,1,,0,0,0,0,0,0,0,0,0
2020-10-06,41,2,,0,0,0,0,0,0,0,0,0
2020-10-07,41,3,,0,0,0,0,0,0,0,0,0
2020-10-08,41,4,,774,387,387,19,6,334,32,34,349
2020-10-09,41,5,,706,368,338,24,11,309,31,35,296
2020-10-10,41,6,1,163,83,80,7,9,66,11,10,60
2020-10-11,41,7,1,281,161,120,15,1,127,17,19,102
2020-10-12,42,1,,643,323,320,20,6,277,37,26,277
2020-10-13,42,2,,757,386,371,25,11,328,31,33,329
2020-10-14,42,3,,640,319,321,20,7,265,28,34,286
2020-10-15,42,4,,484,251,233,17,3,210,14,24,216
2020-10-16,42,5,,523,273,250,15,6,236,33,22,211
2020-10-17,42,6,5,282,147,135,13,5,114,15,20,115
2020-10-18,42,7,5,287,153,134,17,5,113,22,23,107
2020-10-19,43,1,4,654,340,314,23,8,288,31,29,275
2020-10-20,43,2,4,632,305,327,25,2,260,46,20,279
2020-10-21,43,3,4,699,369,330,31,12,296,28,42,290
2020-10-22,43,4,4,447,227,220,7,3,189,16,31,201
2020-10-23,43,5,4,275,141,134,6,2,118,20,17,112
2020-10-24,43,6,5,352,198,154,28,4,145,29,25,121
2020-10-25,43,7,5,305,158,147,12,5,115,23,31,119
2020-10-26,44,1,4,264,133,131,4,2,106,17,23,112
2020-10-27,44,2,4,575,295,280,19,7,236,24,40,249
2020-10-28,44,3,4,495,235,260,10,7,195,32,30,221
2020-10-29,44,4,4,555,288,267,20,5,235,23,33,239
2020-10-30,44,5,36,359,187,172,17,4,147,23,23,145
2020-10-31,44,6,5,324,179,145,21,4,133,23,25,118
2020-11-01,44,7,39,259,137,122,15,6,110,19,12,97
2020-11-02,45,1,32,534,269,265,12,4,221,24,36,237
2020-11-03,45,2,32,356,186,170,4,7,159,9,23,154
2020-11-04,45,3,32,481,255,226,17,5,202,28,36,193
2020-11-05,45,4,32,456,235,221,16,5,197,26,22,190
2020-11-06,45,5,32,526,269,257,35,4,214,34,20,219
2020-11-07,45,6,33,343,181,162,15,8,142,15,24,139
2020-11-08,45,7,33,228,115,113,19,5,84,25,12,83
2020-11-09,46,1,32,468,240,228,15,9,202,16,23,203
2020-11-10,46,2,32,556,278,278,20,6,230,44,28,228
2020-11-11,46,3,34,500,260,240,21,12,195,32,44,196
2020-11-12,46,4,32,501,256,245,18,5,215,27,23,213
2020-11-13,46,5,32,499,254,245,14,7,214,21,26,217
2020-11-14,46,6,33,412,221,191,29,9,158,24,34,158
2020-11-15,46,7,33,386,219,167,23,6,159,19,37,142
2020-11-16,47,1,32,390,200,190,12,4,175,16,13,170
2020-11-17,47,2,32,515,271,244,17,5,226,26,28,213
2020-11-18,47,3,32,642,330,312,28,5,279,34,23,273
2020-11-19,47,4,32,352,174,178,11,5,146,23,17,150
2020-11-20,47,5,32,462,241,221,23,7,198,30,20,184
2020-11-21,47,6,33,355,187,168,25,10,135,26,27,132
2020-11-22,47,7,33,311,153,158,10,8,118,22,25,128
2020-11-23,48,1,32,474,251,223,21,6,211,24,19,193
2020-11-24,48,2,32,501,261,240,22,6,218,26,21,208
2020-11-25,48,3,32,528,269,259,19,4,224,33,26,222
2020-11-26,48,4,32,80,49,31,2,0,45,1,2,30
2020-11-27,48,5,32,459,244,215,21,10,200,24,23,181
2020-11-28,48,6,33,287,152,135,18,5,117,16,17,114
2020-11-29,48,7,33,175,93,82,13,1,67,5,13,76
2020-11-30,49,1,32,370,200,170,14,3,167,10,19,157
2020-12-01,49,2,32,281,142,139,12,4,116,12,14,123
2020-12-02,49,3,32,353,186,167,6,3,163,15,17,149
